-1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 
-1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 1 1 -1 -1 -1 -1 1 -1 
1 -1 -1 1 0 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 1 -1 -1 
-1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 1 1 1 
-1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 0 1 1 1 1 -1 -1 1 1 
1 1 -1 1 -1 -1 -1 -1 0 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 
-1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 0 -1 -1 
1 1 1 0 -1 1 -1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 1 -1 
-1 1 1 1 1 -1 -1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 -1 0 
-1 -1 0 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 3 
-1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 1 -1 -1 
-1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
